Date : 2025-05-13 23:55:13
Directory : /Users/davidfales/voicero-app-shop-test
Total : 60 files,  32712 codes, 2279 comments, 2628 blanks, all 37619 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| extensions/voicero                                                                                          |         15 |     12,255 |      1,940 |      1,873 |     16,068 |
| extensions/voicero (Files)                                                                                  |          2 |         15 |          0 |          3 |         18 |
| extensions/voicero/assets                                                                                   |         12 |     11,910 |      1,940 |      1,840 |     15,690 |
| extensions/voicero/blocks                                                                                   |          1 |        330 |          0 |         30 |        360 |
| prisma                                                                                                      |          4 |         52 |          9 |          7 |         68 |
| prisma (Files)                                                                                              |          1 |         25 |          5 |          5 |         35 |
| prisma/migrations                                                                                           |          3 |         27 |          4 |          2 |         33 |
| prisma/migrations (Files)                                                                                   |          1 |          1 |          2 |          0 |          3 |
| prisma/migrations/20240530213853_create_session_table                                                       |          1 |         17 |          1 |          1 |         19 |
| prisma/migrations/20250419014542_init                                                                       |          1 |          9 |          1 |          1 |         11 |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                    | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/davidfales/voicero-app-shop-test/.dockerignore                                                       | Ignore             |          3 |          0 |          1 |          4 |
| /Users/davidfales/voicero-app-shop-test/.eslintrc.cjs                                                       | JavaScript         |         12 |          1 |          1 |         14 |
| /Users/davidfales/voicero-app-shop-test/.graphqlrc.js                                                       | JavaScript         |         37 |          1 |          1 |         39 |
| /Users/davidfales/voicero-app-shop-test/.prettierignore                                                     | Ignore             |          7 |          0 |          1 |          8 |
| /Users/davidfales/voicero-app-shop-test/CHANGELOG.md                                                        | Markdown           |         40 |          0 |         30 |         70 |
| /Users/davidfales/voicero-app-shop-test/Dockerfile                                                          | Docker             |         11 |          2 |          9 |         22 |
| /Users/davidfales/voicero-app-shop-test/README.md                                                           | Markdown           |        240 |          0 |        130 |        370 |
| /Users/davidfales/voicero-app-shop-test/app/config/urls.js                                                  | JavaScript         |         10 |          4 |          4 |         18 |
| /Users/davidfales/voicero-app-shop-test/app/db.server.js                                                    | JavaScript         |          8 |          0 |          4 |         12 |
| /Users/davidfales/voicero-app-shop-test/app/entry.server.jsx                                                | JavaScript JSX     |         44 |          7 |          8 |         59 |
| /Users/davidfales/voicero-app-shop-test/app/root.jsx                                                        | JavaScript JSX     |         33 |          0 |          3 |         36 |
| /Users/davidfales/voicero-app-shop-test/app/routes.js                                                       | JavaScript         |          2 |          0 |          2 |          4 |
| /Users/davidfales/voicero-app-shop-test/app/routes/_index/route.jsx                                         | JavaScript JSX     |         50 |          0 |          6 |         56 |
| /Users/davidfales/voicero-app-shop-test/app/routes/_index/styles.module.css                                 | CSS                |         62 |          0 |         12 |         74 |
| /Users/davidfales/voicero-app-shop-test/app/routes/api.accessKey.js                                         | JavaScript         |        342 |         16 |         38 |        396 |
| /Users/davidfales/voicero-app-shop-test/app/routes/api.quickConnectCallback.jsx                             | JavaScript JSX     |         30 |          3 |          9 |         42 |
| /Users/davidfales/voicero-app-shop-test/app/routes/api.sync.js                                              | JavaScript         |        745 |         39 |         37 |        821 |
| /Users/davidfales/voicero-app-shop-test/app/routes/api.toggle-status.js                                     | JavaScript         |         36 |          4 |          6 |         46 |
| /Users/davidfales/voicero-app-shop-test/app/routes/app._index.jsx                                           | JavaScript JSX     |      2,248 |        154 |        261 |      2,663 |
| /Users/davidfales/voicero-app-shop-test/app/routes/app.jsx                                                  | JavaScript JSX     |         50 |          2 |          8 |         60 |
| /Users/davidfales/voicero-app-shop-test/app/routes/app.settings.jsx                                         | JavaScript JSX     |        769 |         23 |         53 |        845 |
| /Users/davidfales/voicero-app-shop-test/app/routes/app.website.jsx                                          | JavaScript JSX     |        390 |         10 |         28 |        428 |
| /Users/davidfales/voicero-app-shop-test/app/routes/auth.$.jsx                                               | JavaScript JSX     |          5 |          0 |          3 |          8 |
| /Users/davidfales/voicero-app-shop-test/app/routes/auth.login/error.server.jsx                              | JavaScript JSX     |          9 |          0 |          3 |         12 |
| /Users/davidfales/voicero-app-shop-test/app/routes/auth.login/route.jsx                                     | JavaScript JSX     |         58 |          0 |          8 |         66 |
| /Users/davidfales/voicero-app-shop-test/app/routes/health.ts                                                | TypeScript         |         14 |          4 |          3 |         21 |
| /Users/davidfales/voicero-app-shop-test/app/routes/webhooks.$topic.ts                                       | TypeScript         |         23 |          6 |          4 |         33 |
| /Users/davidfales/voicero-app-shop-test/app/routes/webhooks.app.scopes_update.jsx                           | JavaScript JSX     |         17 |          0 |          5 |         22 |
| /Users/davidfales/voicero-app-shop-test/app/routes/webhooks.app.uninstalled.jsx                             | JavaScript JSX     |          9 |          2 |          5 |         16 |
| /Users/davidfales/voicero-app-shop-test/app/routes/webhooks.gdpr.ts                                         | TypeScript         |         68 |         21 |         14 |        103 |
| /Users/davidfales/voicero-app-shop-test/app/routes/webhooks.test.ts                                         | TypeScript         |         42 |         10 |         12 |         64 |
| /Users/davidfales/voicero-app-shop-test/app/shopify.server.js                                               | JavaScript         |         33 |          0 |          3 |         36 |
| /Users/davidfales/voicero-app-shop-test/app/styles/app.css                                                  | CSS                |         41 |          9 |         13 |         63 |
| /Users/davidfales/voicero-app-shop-test/env.d.ts                                                            | TypeScript         |          0 |          2 |          1 |          3 |
| /Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/style.css                                 | CSS                |        781 |         70 |        107 |        958 |
| /Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-action-handler.js                 | JavaScript         |      1,067 |        135 |        183 |      1,385 |
| /Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-chooser.js                        | JavaScript         |        392 |         50 |         52 |        494 |
| /Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-color.js                          | JavaScript         |        160 |         53 |         36 |        249 |
| /Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-contact.js                        | JavaScript         |        335 |         64 |         61 |        460 |
| /Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-core.js                           | JavaScript         |      1,980 |        343 |        305 |      2,628 |
| /Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-customer.js                       | JavaScript         |        738 |        120 |         83 |        941 |
| /Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-page-data.js                      | JavaScript         |        191 |         40 |         31 |        262 |
| /Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-support.js                        | JavaScript         |        578 |        126 |         94 |        798 |
| /Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-text.js                           | JavaScript         |      2,737 |        438 |        418 |      3,593 |
| /Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-voice.js                          | JavaScript         |      2,820 |        462 |        436 |      3,718 |
| /Users/davidfales/voicero-app-shop-test/extensions/voicero/assets/voicero-welcome.js                        | JavaScript         |        131 |         39 |         34 |        204 |
| /Users/davidfales/voicero-app-shop-test/extensions/voicero/blocks/voicero.liquid                            | Liquid             |        330 |          0 |         30 |        360 |
| /Users/davidfales/voicero-app-shop-test/extensions/voicero/schema.json                                      | JSON               |         13 |          0 |          1 |         14 |
| /Users/davidfales/voicero-app-shop-test/extensions/voicero/shopify.extension.toml                           | TOML               |          2 |          0 |          2 |          4 |
| /Users/davidfales/voicero-app-shop-test/package-lock.json                                                   | JSON               |     14,711 |          0 |          1 |     14,712 |
| /Users/davidfales/voicero-app-shop-test/package.json                                                        | JSON               |         71 |          0 |          0 |         71 |
| /Users/davidfales/voicero-app-shop-test/prisma/migrations/20240530213853_create_session_table/migration.sql | MS SQL             |         17 |          1 |          1 |         19 |
| /Users/davidfales/voicero-app-shop-test/prisma/migrations/20250419014542_init/migration.sql                 | MS SQL             |          9 |          1 |          1 |         11 |
| /Users/davidfales/voicero-app-shop-test/prisma/migrations/migration_lock.toml                               | TOML               |          1 |          2 |          0 |          3 |
| /Users/davidfales/voicero-app-shop-test/prisma/schema.prisma                                                | Prisma             |         25 |          5 |          5 |         35 |
| /Users/davidfales/voicero-app-shop-test/remix.config.js                                                     | JavaScript         |         15 |          4 |          2 |         21 |
| /Users/davidfales/voicero-app-shop-test/shopify.app.toml                                                    | TOML               |         29 |          2 |         10 |         41 |
| /Users/davidfales/voicero-app-shop-test/shopify.web.toml                                                    | TOML               |          6 |          0 |          2 |          8 |
| /Users/davidfales/voicero-app-shop-test/tsconfig.json                                                       | JSON with Comments |         21 |          0 |          1 |         22 |
| /Users/davidfales/voicero-app-shop-test/vite.config.js                                                      | JavaScript         |         64 |          4 |          6 |         74 |
| Total                                                                                                       |                    |     32,712 |      2,279 |      2,628 |     37,619 |
+-------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
